epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,941.612,1.31096,1.77031,1.66005,0.60783,0.31484,0.46847,0.33023,1.36955,1.97089,1.69581,0.0671093,0.00033223,0.00033223
2,3297.26,1.30583,1.75742,1.64932,0.63921,0.23203,0.42575,0.31164,1.35198,1.82126,1.73105,0.0340427,0.00059904,0.00059904
3,4374.64,1.29932,1.71266,1.64135,0.68229,0.19916,0.42715,0.31052,1.32217,1.79586,1.63368,0.000909592,0.000799217,0.000799217
4,5076.65,1.27361,1.64785,1.61548,0.72874,0.27493,0.50079,0.34666,1.25564,1.63194,1.59169,0.00070015,0.00070015,0.00070015
5,5812.67,1.21776,1.57736,1.56777,0.6066,0.32207,0.46081,0.3373,1.22527,1.57043,1.59016,0.0006002,0.0006002,0.0006002
6,6536.35,1.17396,1.47782,1.5346,0.70999,0.32649,0.52075,0.39086,1.21026,1.5022,1.56286,0.00050025,0.00050025,0.00050025
7,7304.29,1.11934,1.3882,1.48479,0.66157,0.35457,0.51775,0.38315,1.20593,1.53738,1.54012,0.0004003,0.0004003,0.0004003
8,8076.37,1.07742,1.33221,1.4562,0.67075,0.32344,0.49877,0.3776,1.21605,1.50238,1.55997,0.00030035,0.00030035,0.00030035
9,9002.88,1.05095,1.2538,1.44279,0.68359,0.37967,0.53486,0.3992,1.1528,1.39376,1.50924,0.0002004,0.0002004,0.0002004
10,9742.88,1.00219,1.19549,1.39114,0.67968,0.41355,0.5478,0.41476,1.15159,1.38944,1.52119,0.00010045,0.00010045,0.00010045
